"","tconst","averageRating","numVotes","titleType","primaryTitle","originalTitle","startYear","endYear","runtimeMinutes","genres"
"1","tt0252994",8,16,"short","Climbing Jacob's Ladder","Climbing Jacob's Ladder",1899,"\N","\N","Documentary,Short"
"2","tt2369678",6,9,"tvMovie","In Sickness and in Health","In Sickness and in Health",2012,"\N","88","Family"
"3","tt0069282",6.2,1023,"movie","Slither","Slither",1973,"\N","97","Comedy,Crime,Thriller"
"4","tt1861338",8.2,8,"short","God Bless the Child","God Bless the Child",2011,"\N","3","Comedy,Short"
"5","tt0821815",6.6,16,"tvMovie","Westward Ho!","Westward Ho!",1988,"\N","55","Adventure,Animation,Comedy"
"6","tt0047180",7.7,424,"movie","Liliomfi","Liliomfi",1955,"\N","109","Comedy"
"7","tt2221787",7.1,8,"short","Sandow No. 2","Sandow No. 2",1896,"\N","\N","Short"
"8","tt1278365",7.5,17,"short","Happy at Home","Happy at Home",2008,"\N","4","Music,Short"
"9","tt0125435",5.2,20,"movie","Niels Pind og hans dreng","Niels Pind og hans dreng",1941,"\N","93","Comedy,Drama"
"10","tt0170389",5.7,60,"short","Pink Pull","Pink Pull",1979,"\N","7","Animation,Comedy,Short"
"11","tt0278477",5.9,12,"tvMovie","Headliners & Legends: Cameron Diaz","Headliners & Legends: Cameron Diaz",2001,"\N","\N","Documentary"
"12","tt2347523",7.1,8,"short","The Battle of New Orleans","The Battle of New Orleans",1960,"\N","3","Comedy,Short"
"13","tt0240514",6.4,28,"short","Fred Ott Holding a Bird","Fred Ott Holding a Bird",1894,"\N","\N","Short"
"14","tt4138108",7.2,26,"short","Mother","Äiti",2015,"\N","11","Drama,Family,Fantasy"
"15","tt2403734",8,19,"short","Jesus Fish","Jesus Fish",2013,"\N","22","Drama,Short,Thriller"
"16","tt0049642",7.1,130,"movie","Punishment Room","Shokei no heya",1956,"\N","96","Action,Crime,Thriller"
"17","tt0482965",5.3,7,"short","Form Phases","Form Phases",1952,"\N","2","Short"
"18","tt1541638",5.5,6,"movie","Black Light","Black Light",2009,"\N","72","Drama"
"19","tt0055337",7,20,"movie","Little Village","Pueblito",1962,"\N","83","Drama"
"20","tt1280536",7.6,21,"movie","Pedro","Pedro",2009,"\N","90","Biography"
"21","tt0094730",5.9,1758,"movie","The Visitors","Besökarna",1988,"\N","109","Horror"
"22","tt3068658",7.6,5,"short","Shelton's Oasis","Shelton's Oasis",2013,"\N","11","Drama,Short,Western"
"23","tt0207221",6.4,7,"short","Yaddie and Dah","Yaddie and Dah",1999,"\N","\N","Short"
"24","tt0049146",6,7,"movie","O Dinheiro dos Pobres","O Dinheiro dos Pobres",1956,"\N","118","Drama"
"25","tt1034466",1.6,5,"tvMovie","Taniec z gwiazdami - Najpiekniejsze tance","Taniec z gwiazdami - Najpiekniejsze tance",2007,"\N","\N","Game-Show"
"26","tt1783285",6.1,685,"movie","Good for Nothing","Good for Nothing",2011,"\N","92","Comedy,Thriller,Western"
"27","tt0420586",4.6,9,"movie","Doppelsterne","Doppelsterne",2003,"\N","81","\N"
"28","tt3378038",9.1,23,"movie","States of Grace","States of Grace",2014,"\N","74","Documentary,Drama"
"29","tt0058101",6,866,"movie","The Flesh Eaters","The Flesh Eaters",1964,"\N","87","Horror,Sci-Fi"
"30","tt0073467",8,13,"movie","Not a Pretty Picture","Not a Pretty Picture",1976,"\N","83","Drama"
"31","tt1173527",6.1,35,"movie","My Wee Nothing","Moeto manichko nishto",2007,"\N","101","Drama"
"32","tt0038352",6.9,7,"movie","Betty Co-Ed","Betty Co-Ed",1946,"\N","68","Drama"
"33","tt1129431",3.5,174,"movie","On Bloody Sunday","On Bloody Sunday",2007,"\N","86","Horror"
"34","tt6739542",9.2,55,"movie","Behavioral Concept","Behavioral Concept",2015,"\N","57","Documentary"
"35","tt0800049",7,5,"tvMovie","The Girl Who Would Be Queen","The Girl Who Would Be Queen",2006,"\N","60","Documentary"
"36","tt1943687",5.6,5,"short","Departures","Departures",2011,"\N","\N","Drama,Short"
"37","tt0024088",6.1,20,"movie","Happy","Happy",1933,"\N","80","Comedy,Musical"
"38","tt2693662",3.2,5,"movie","Eent Ka Jawab Patthar","Eent Ka Jawab Patthar",1982,"\N","\N","Action"
